------------------------------------------------------------
 Model:        tpxo9.v1
 Constituents included: m2  s2  n2  k2  k1  o1  p1  q1  mm  mf  m4  mn4 ms4 2n2 
 s1  
 
     Lat       Lon        mm.dd.yyyy hh:mm:ss     z(m)   Depth(m)
    36.1889  -75.9000     10.12.1994 17:12:50     0.455    10.076
    36.1889  -75.9000     10.12.1994 17:13:00     0.456    10.076
    36.1889  -75.9000     10.12.1994 17:13:10     0.456    10.076
    36.1889  -75.9000     10.12.1994 17:13:20     0.457    10.076
    36.1889  -75.9000     10.12.1994 17:13:30     0.457    10.076
    36.1889  -75.9000     10.12.1994 17:13:40     0.457    10.076
    36.1889  -75.9000     10.12.1994 17:13:50     0.458    10.076
    36.1889  -75.9000     10.12.1994 17:14:00     0.458    10.076
    36.1889  -75.9000     10.12.1994 17:14:10     0.459    10.076
    36.1889  -75.9000     10.12.1994 17:14:20     0.459    10.076
    36.1889  -75.9000     10.12.1994 17:14:30     0.460    10.076
    36.1889  -75.9000     10.12.1994 17:14:40     0.460    10.076
    36.1889  -75.9000     10.12.1994 17:14:50     0.461    10.076
    36.1889  -75.9000     10.12.1994 17:15:00     0.461    10.076
    36.1889  -75.9000     10.12.1994 17:15:10     0.461    10.076
    36.1889  -75.9000     10.12.1994 17:15:20     0.462    10.076
    36.1889  -75.9000     10.12.1994 17:15:30     0.462    10.076
    36.1889  -75.9000     10.12.1994 17:15:40     0.463    10.076
    36.1889  -75.9000     10.12.1994 17:15:50     0.463    10.076
    36.1889  -75.9000     10.12.1994 17:16:00     0.464    10.076
    36.1889  -75.9000     10.12.1994 17:16:10     0.464    10.076
    36.1889  -75.9000     10.12.1994 17:16:20     0.465    10.076
    36.1889  -75.9000     10.12.1994 17:16:30     0.465    10.076
    36.1889  -75.9000     10.12.1994 17:16:40     0.465    10.076
    36.1889  -75.9000     10.12.1994 17:16:50     0.466    10.076
    36.1889  -75.9000     10.12.1994 17:17:00     0.466    10.076
    36.1889  -75.9000     10.12.1994 17:17:10     0.467    10.076
    36.1889  -75.9000     10.12.1994 17:17:20     0.467    10.076
    36.1889  -75.9000     10.12.1994 17:17:30     0.468    10.076
    36.1889  -75.9000     10.12.1994 17:17:40     0.468    10.076
    36.1889  -75.9000     10.12.1994 17:17:50     0.468    10.076
    36.1889  -75.9000     10.12.1994 17:18:00     0.469    10.076
    36.1889  -75.9000     10.12.1994 17:18:10     0.469    10.076
    36.1889  -75.9000     10.12.1994 17:18:20     0.470    10.076
    36.1889  -75.9000     10.12.1994 17:18:30     0.470    10.076
    36.1889  -75.9000     10.12.1994 17:18:40     0.470    10.076
    36.1889  -75.9000     10.12.1994 17:18:50     0.471    10.076
    36.1889  -75.9000     10.12.1994 17:19:00     0.471    10.076
    36.1889  -75.9000     10.12.1994 17:19:10     0.472    10.076
    36.1889  -75.9000     10.12.1994 17:19:20     0.472    10.076
    36.1889  -75.9000     10.12.1994 17:19:30     0.473    10.076
    36.1889  -75.9000     10.12.1994 17:19:40     0.473    10.076
    36.1889  -75.9000     10.12.1994 17:19:50     0.473    10.076
    36.1889  -75.9000     10.12.1994 17:20:00     0.474    10.076
    36.1889  -75.9000     10.12.1994 17:20:10     0.474    10.076
    36.1889  -75.9000     10.12.1994 17:20:20     0.475    10.076
    36.1889  -75.9000     10.12.1994 17:20:30     0.475    10.076
    36.1889  -75.9000     10.12.1994 17:20:40     0.475    10.076
    36.1889  -75.9000     10.12.1994 17:20:50     0.476    10.076
    36.1889  -75.9000     10.12.1994 17:21:00     0.476    10.076
    36.1889  -75.9000     10.12.1994 17:21:10     0.477    10.076
    36.1889  -75.9000     10.12.1994 17:21:20     0.477    10.076
    36.1889  -75.9000     10.12.1994 17:21:30     0.478    10.076
    36.1889  -75.9000     10.12.1994 17:21:40     0.478    10.076
    36.1889  -75.9000     10.12.1994 17:21:50     0.478    10.076
    36.1889  -75.9000     10.12.1994 17:22:00     0.479    10.076
    36.1889  -75.9000     10.12.1994 17:22:10     0.479    10.076
    36.1889  -75.9000     10.12.1994 17:22:20     0.480    10.076
    36.1889  -75.9000     10.12.1994 17:22:30     0.480    10.076
    36.1889  -75.9000     10.12.1994 17:22:40     0.480    10.076
    36.1889  -75.9000     10.12.1994 17:22:50     0.481    10.076
    36.1889  -75.9000     10.12.1994 17:23:00     0.481    10.076
    36.1889  -75.9000     10.12.1994 17:23:10     0.482    10.076
    36.1889  -75.9000     10.12.1994 17:23:20     0.482    10.076
    36.1889  -75.9000     10.12.1994 17:23:30     0.482    10.076
    36.1889  -75.9000     10.12.1994 17:23:40     0.483    10.076
    36.1889  -75.9000     10.12.1994 17:23:50     0.483    10.076
